index,word,ort,pho,wf,wn_idx,adjusted_wf
1235,dolls,__do_lls__,_dalz__,166.0,1310.0,166.0
1236,dolt,__do_lt___,_dolt__,6.0,1311.0,6.0
1237,dome,__do_me___,_dom___,1090.0,1312.0,1090.0
1238,domes,__do_mes__,_domz__,22.0,1313.0,22.0
1239,don,__do_n____,_dan___,881.0,1314.0,881.0
1240,done,__do_ne___,_d^n___,6760.0,1315.0,6760.0
1241,donned,__do_nned_,_dand__,30.0,1316.0,30.0
1242,dons,__do_ns___,_danz__,28.0,1317.0,28.0
1243,doom,__doom____,_dum___,177.0,1318.0,177.0
1244,doomed,__doomed__,_dumd__,225.0,1319.0,225.0
1245,dooms,__dooms___,_dumz__,14.0,1320.0,14.0
1246,door,__door____,_dor___,2369.0,1321.0,2369.0
1247,doors,__doors___,_dorz__,840.0,1322.0,840.0
1248,dope,__do_pe___,_dop___,83.0,1323.0,83.0
1249,dopes,__do_pes__,_dops__,2.0,1324.0,2.0
1250,dork,__do_rk___,_dork__,0.0,1325.0,0.0
1251,dorks,__do_rks__,_dorks_,3.0,1326.0,3.0
1252,dorm,__do_rm___,_dorm__,34.0,1327.0,34.0
1253,dorms,__do_rms__,_dormz_,10.0,1328.0,10.0
1254,dose,__do_se___,_dos___,388.0,1330.0,388.0
1255,dot,__do_t____,_dat___,210.0,1332.0,210.0
1256,dote,__do_te___,_dot___,3.0,1333.0,3.0
1257,dots,__do_ts___,_dats__,48.0,1334.0,48.0
1260,doubt,__doubt___,_dWt___,2665.0,1335.0,2665.0
1261,doubts,__doubts__,_dWts__,1174.0,1336.0,1174.0
1262,dough,__dough___,_do____,75.0,1337.0,75.0
1263,doughs,__doughs__,_doz___,0.0,1338.0,0.0
1264,dour,__dour____,_dWr___,40.0,1339.0,40.0
1265,douse,__douse___,_dWs___,18.0,1340.0,18.0
1266,doused,__doused__,_dWst__,29.0,1341.0,29.0
1267,down,__down____,_dWn___,35335.0,1342.0,35335.0
1268,doze,__do_ze___,_doz___,4.0,1343.0,4.0
1269,dozed,__do_zed__,_dozd__,8.0,1344.0,8.0
1270,drab,_dra_b____,dr@b___,70.0,1345.0,70.0
1271,draft,_dra_ft___,dr@ft__,1330.0,1346.0,1330.0
1272,drafts,_dra_fts__,dr@fts_,109.0,1347.0,109.0
1273,drag,_dra_g____,dr@g___,534.0,1348.0,534.0
1274,dragged,_dra_gged_,dr@gd__,362.0,1349.0,362.0
1275,drags,_dra_gs___,dr@gz__,70.0,1350.0,70.0
1276,drain,_drain____,dren___,451.0,1351.0,451.0
1277,drained,_drained__,drend__,147.0,1352.0,147.0
1278,drains,_drains___,drenz__,44.0,1353.0,44.0
1279,drank,_dra_nk___,dr@nk__,75.0,1358.0,75.0
1280,drape,_dra_pe___,drep___,12.0,1359.0,12.0
1281,draped,_dra_ped__,drept__,47.0,1360.0,47.0
1282,drapes,_dra_pes__,dreps__,31.0,1361.0,31.0
1283,draught,_draught__,dr@ft__,2.0,1362.0,2.0
1284,draughts,_draughts_,dr@fts_,1.0,1363.0,1.0
1285,draw,_draw_____,dra____,1538.0,1364.0,1538.0
1286,drawl,_drawl____,dral___,24.0,1365.0,24.0
1287,drawled,_drawled__,drald__,4.0,1366.0,4.0
1288,drawls,_drawls___,dralz__,9.0,1367.0,9.0
1289,draws,_draws____,draz___,422.0,1368.0,422.0
1290,dread,_dread____,drEd___,72.0,1370.0,72.0
1291,dreads,_dreads___,drEdz__,4.0,1371.0,4.0
1292,dream,_dream____,drim___,949.0,1372.0,949.0
1293,dreams,_dreams___,drimz__,360.0,1373.0,360.0
1294,dredge,_dre_dge__,drEJ___,23.0,1374.0,23.0
1295,drench,_dre_nch__,drEnC__,1.0,1375.0,1.0
1296,drenched,_dre_nched,drEnCt_,30.0,1376.0,30.0
1297,dress,_dre_ss___,drEs___,555.0,1377.0,555.0
1298,dressed,_dre_ssed_,drEst__,445.0,1378.0,445.0
1299,drew,_drew_____,dru____,1323.0,1379.0,1323.0
1300,dried,_dried____,drAd___,303.0,1380.0,303.0
1301,dries,_dries____,drAz___,40.0,1381.0,40.0
1302,drift,_dri_ft___,drIft__,305.0,1382.0,305.0
1303,drifts,_dri_fts__,drIfts_,32.0,1383.0,32.0
1304,drill,_dri_ll___,drIl___,295.0,1384.0,295.0
1305,drilled,_dri_lled_,drIld__,181.0,1385.0,181.0
1306,drills,_dri_lls__,drIlz__,69.0,1386.0,69.0
1307,drink,_dri_nk___,drInk__,1297.0,1387.0,1297.0
1308,drinks,_dri_nks__,drInks_,623.0,1388.0,623.0
1309,drip,_dri_p____,drIp___,34.0,1389.0,34.0
1310,dripped,_dri_pped_,drIpt__,5.0,1390.0,5.0
1311,drips,_dri_ps___,drIps__,11.0,1391.0,11.0
1312,drive,_dri_ve___,drAv___,3685.0,1392.0,3685.0
1313,drives,_dri_ves__,drAvz__,863.0,1393.0,863.0
1314,drone,_dro_ne___,dron___,31.0,1395.0,31.0
1315,drones,_dro_nes__,dronz__,45.0,1396.0,45.0
1316,drool,_drool____,drul___,2.0,1397.0,2.0
1317,droop,_droop____,drup___,4.0,1398.0,4.0
1318,drooped,_drooped__,drupt__,2.0,1399.0,2.0
1319,droops,_droops___,drups__,3.0,1400.0,3.0
1320,drop,_dro_p____,drap___,9127.0,1401.0,9127.0
1321,dropped,_dro_pped_,drapt__,7642.0,1402.0,7642.0
1322,drops,_dro_ps___,draps__,675.0,1403.0,675.0
1323,dross,_dro_ss___,dras___,9.0,1404.0,9.0
1324,drought,_drought__,drWt___,1548.0,1405.0,1548.0
1325,droughts,_droughts_,drWts__,41.0,1406.0,41.0
1326,drove,_dro_ve___,drov___,803.0,1407.0,803.0
1327,drown,_drown____,drWn___,34.0,1408.0,34.0
1328,drowned,_drowned__,drWnd__,76.0,1409.0,76.0
1329,drowns,_drowns___,drWnz__,6.0,1410.0,6.0
1330,drug,_dru_g____,dr^g___,12955.0,1412.0,12955.0
1331,drugs,_dru_gs___,dr^gz__,4039.0,1413.0,4039.0
1332,drum,_dru_m____,dr^m___,209.0,1414.0,209.0
1333,drums,_dru_ms___,dr^mz__,127.0,1415.0,127.0
1334,drunk,_dru_nk___,dr^nk__,200.0,1416.0,200.0
1335,dry,_dry______,drA____,1240.0,1418.0,1240.0
1336,dub,__du_b____,_d^b___,27.0,1419.0,27.0
1337,dubbed,__du_bbed_,_d^bd__,405.0,1420.0,405.0
1338,dubs,__du_bs___,_d^bz__,26.0,1421.0,26.0
1339,duck,__du_ck___,_d^k___,390.0,1422.0,390.0
1340,ducked,__du_cked_,_d^kt__,33.0,1423.0,33.0
1341,ducks,__du_cks__,_d^ks__,156.0,1424.0,156.0
1342,duct,__du_ct___,_d^kt__,11.0,1425.0,11.0
1343,ducts,__du_cts__,_d^kts_,21.0,1426.0,21.0
1344,dud,__du_d____,_d^d___,28.0,1427.0,28.0
1345,dude,__du_de___,_dud___,31.0,1428.0,31.0
1346,dudes,__du_des__,_dudz__,8.0,1429.0,8.0
1347,duds,__du_ds___,_d^dz__,21.0,1430.0,21.0
1348,due,__due_____,_du____,11916.0,1431.0,11916.0
1349,duel,__duel____,_dul___,49.0,1432.0,49.0
1350,duels,__duels___,_dulz__,13.0,1433.0,13.0
1351,dues,__dues____,_duz___,208.0,1434.0,208.0
1352,duff,__du_ff___,_d^f___,125.0,1435.0,125.0
1353,dug,__du_g____,_d^g___,150.0,1436.0,150.0
1354,duke,__du_ke___,_duk___,477.0,1437.0,477.0
1355,dukes,__du_kes__,_duks__,34.0,1438.0,34.0
1356,dull,__du_ll___,_d^l___,414.0,1439.0,414.0
1357,dumb,__du_mb___,_d^m___,224.0,1440.0,224.0
1358,dump,__du_mp___,_d^mp__,446.0,1441.0,446.0
1359,dumped,__du_mped_,_d^mpt_,401.0,1442.0,401.0
1360,dumps,__du_mps__,_d^mps_,106.0,1443.0,106.0
1361,dun,__du_n____,_d^n___,476.0,1444.0,476.0
1362,dunce,__du_nce__,_d^ns__,5.0,1445.0,5.0
1363,dune,__du_ne___,_dun___,18.0,1446.0,18.0
1364,dunes,__du_nes__,_dunz__,81.0,1447.0,81.0
1365,dung,__du_ng___,_d^ng__,20.0,1448.0,20.0
1366,dungs,__du_ngs__,_d^ngz_,0.0,1449.0,0.0
1367,dunk,__du_nk___,_d^nk__,53.0,1450.0,53.0
1368,dunked,__du_nked_,_d^nkt_,15.0,1451.0,15.0
1369,dunks,__du_nks__,_d^nks_,8.0,1452.0,8.0
1370,duns,__du_ns___,_d^nz__,1.0,1453.0,1.0
1371,dupe,__du_pe___,_dup___,6.0,1454.0,6.0
1372,duped,__du_ped__,_dupt__,38.0,1455.0,38.0
1373,dupes,__du_pes__,_dups__,5.0,1456.0,5.0
1374,dusk,__du_sk___,_d^sk__,70.0,1457.0,70.0
1375,dusks,__du_sks__,_d^sks_,0.0,1458.0,0.0
1376,dust,__du_st___,_d^st__,476.0,1459.0,476.0
1377,dusts,__du_sts__,_d^sts_,9.0,1460.0,9.0
1378,dutch,__du_tch__,_d^tC__,1866.0,1461.0,1866.0
1379,dwarf,_dwa_rf___,dworf__,88.0,1462.0,88.0
1380,dwarfed,_dwa_rfed_,dworft_,82.0,1463.0,82.0
1381,dwell,_dwe_ll___,dwEl___,78.0,1465.0,78.0
1382,dwells,_dwe_lls__,dwElz__,19.0,1466.0,19.0
1383,dwelt,_dwe_lt___,dwElt__,14.0,1467.0,14.0
1384,dye,__dye_____,_dA____,90.0,1468.0,90.0
1385,dyke,__dy_ke___,_dAk___,31.0,1469.0,31.0
1386,dykes,__dy_kes__,_dAks__,11.0,1470.0,11.0
1387,each,___each___,__iC___,24211.0,1471.0,24211.0
1388,ear,___ear____,__ir___,290.0,1472.0,290.0
1389,earl,___earl___,__^rl__,294.0,1473.0,294.0
1390,earls,___earls__,__^rlz_,14.0,1474.0,14.0
1391,earn,___earn___,__^rn__,1934.0,1475.0,1934.0
1392,earned,___earned_,__^rnd_,5107.0,1476.0,5107.0
1393,earns,___earns__,__^rnz_,300.0,1477.0,300.0
1394,ears,___ears___,__irz__,247.0,1478.0,247.0
1395,earth,___earth__,__^rT__,957.0,1479.0,957.0
1396,ease,___ease___,__iz___,1974.0,1481.0,1974.0
1397,east,___east___,__ist__,5959.0,1482.0,5959.0
1398,eat,___eat____,__it___,933.0,1483.0,933.0
1399,eats,___eats___,__its__,93.0,1484.0,93.0
1400,eaves,___eaves__,__ivz__,13.0,1485.0,13.0
1401,ebb,___e_bb___,__Eb___,59.0,1486.0,59.0
1402,ebbed,___e_bbed_,__Ebd__,36.0,1487.0,36.0
1403,ebbs,___e_bbs__,__Ebz__,13.0,1488.0,13.0
1404,edge,___e_dge__,__EJ___,1565.0,1489.0,1565.0
1405,eel,___eel____,__il___,16.0,1490.0,16.0
1406,eels,___eels___,__ilz__,15.0,1491.0,15.0
1407,egg,___e_gg___,__eg___,453.0,1493.0,453.0
1408,eggs,___e_ggs__,__egz__,480.0,1494.0,480.0
1409,elf,___e_lf___,__Elf__,228.0,1495.0,228.0
1410,elk,___e_lk___,__Elk__,129.0,1496.0,64.5
1411,elk,___e_lk___,__Elk__,129.0,1497.0,64.5
1412,ell,___e_ll___,__El___,0.0,1498.0,0.0
1413,ells,___e_lls__,__Elz__,0.0,1499.0,0.0
1414,elm,___e_lm___,__Elm__,65.0,1500.0,65.0
1415,elms,___e_lms__,__Elmz_,11.0,1501.0,11.0
1416,else,___e_lse__,__Els__,3379.0,1502.0,3379.0
1417,elves,___e_lves_,__Elvz_,6.0,1503.0,6.0
1418,end,___e_nd___,__End__,21222.0,1504.0,21222.0
1419,ends,___e_nds__,__Endz_,1609.0,1505.0,1609.0
1420,ere,___e_re___,__Er___,3.0,1507.0,3.0
1421,erg,___e_rg___,__^rg__,15.0,1508.0,15.0
1422,err,___e_rr___,__Er___,63.0,1509.0,63.0
1423,etch,___e_tch__,__EtC__,29.0,1510.0,29.0
1424,etched,___e_tched,__EtCt_,56.0,1511.0,56.0
1425,eve,___e_ve___,__iv___,436.0,1512.0,436.0
1426,eves,___e_ves__,__ivz__,0.0,1513.0,0.0
1427,ewe,___ewe____,__Y____,3.0,1514.0,3.0
1428,ewes,___ewes___,__Yz___,3.0,1515.0,3.0
1429,eye,___eye____,__A____,1757.0,1516.0,1757.0
1430,eyes,___eyes___,__Az___,1307.0,1517.0,1307.0
1431,face,__fa_ce___,_fes___,8824.0,1519.0,8824.0
1432,fact,__fa_ct___,_f@kt__,8831.0,1520.0,8831.0
1433,facts,__fa_cts__,_f@kts_,1279.0,1521.0,1279.0
1434,fad,__fa_d____,_f@d___,134.0,1522.0,134.0
1435,fade,__fa_de___,_fed___,213.0,1523.0,213.0
1436,fades,__fa_des__,_fedz__,64.0,1524.0,64.0
1437,fads,__fa_ds___,_f@dz__,53.0,1525.0,53.0
1438,fag,__fa_g____,_f@g___,3.0,1526.0,3.0
1439,fags,__fa_gs___,_f@gz__,0.0,1527.0,0.0
1440,fail,__fail____,_fel___,1332.0,1528.0,1332.0
1441,failed,__failed__,_feld__,6272.0,1529.0,6272.0
1442,fails,__fails___,_felz__,872.0,1530.0,872.0
1443,faint,__faint___,_fent__,104.0,1531.0,104.0
1444,fair,__fair____,_fEr___,3029.0,1532.0,3029.0
1445,faith,__faith___,_feT___,1147.0,1533.0,1147.0
1446,faiths,__faiths__,_feTs__,21.0,1534.0,21.0
1447,fake,__fa_ke___,_fek___,246.0,1535.0,246.0
1448,fall,__fa_ll___,_fal___,9925.0,1536.0,9925.0
1449,falls,__fa_lls__,_falz__,1366.0,1537.0,1366.0
1450,false,__fa_lse__,_fals__,1925.0,1538.0,1925.0
1451,fame,__fa_me___,_fem___,371.0,1539.0,371.0
1452,fan,__fa_n____,_f@n___,470.0,1541.0,470.0
1453,fang,__fa_ng___,_f@ng__,38.0,1542.0,38.0
1454,fangs,__fa_ngs__,_f@ngz_,10.0,1543.0,10.0
1455,fans,__fa_ns___,_f@nz__,860.0,1544.0,860.0
1456,far,__fa_r____,_far___,17233.0,1545.0,17233.0
1457,farce,__fa_rce__,_fars__,73.0,1546.0,73.0
1458,fare,__fa_re___,_fEr___,1462.0,1547.0,1462.0
1459,fares,__fa_res__,_fErz__,1592.0,1548.0,1592.0
1460,farm,__fa_rm___,_farm__,4912.0,1549.0,4912.0
1461,farms,__fa_rms__,_farmz_,730.0,1550.0,730.0
1462,fart,__fa_rt___,_fart__,0.0,1551.0,0.0
1463,fast,__fa_st___,_f@st__,4058.0,1552.0,4058.0
1464,fat,__fa_t____,_f@t___,1127.0,1553.0,1127.0
1465,fate,__fa_te___,_fet___,790.0,1554.0,790.0
1466,fates,__fa_tes__,_fets__,30.0,1555.0,30.0
1467,fault,__fault___,_falt__,556.0,1556.0,556.0
1468,faults,__faults__,_falts_,105.0,1557.0,105.0
1469,faun,__faun____,_fan___,2.0,1558.0,2.0
1470,fauns,__fauns___,_fanz__,0.0,1559.0,0.0
1471,fawn,__fawn____,_fan___,43.0,1560.0,43.0
1472,fawned,__fawned__,_fand__,4.0,1561.0,4.0
1473,fawns,__fawns___,_fanz__,0.0,1562.0,0.0
1474,faze,__fa_ze___,_fez___,23.0,1563.0,23.0
1475,fazed,__fa_zed__,_fezd__,26.0,1564.0,26.0
1476,fear,__fear____,_fir___,4321.0,1565.0,4321.0
1477,fears,__fears___,_firz__,3193.0,1566.0,3193.0
1478,feast,__feast___,_fist__,93.0,1567.0,93.0
1479,feasts,__feasts__,_fists_,13.0,1568.0,13.0
1480,feat,__feat____,_fit___,136.0,1569.0,136.0
1481,feats,__feats___,_fits__,38.0,1570.0,38.0
1482,fed,__fe_d____,_fEd___,8405.0,1571.0,8405.0
1483,fee,__fee_____,_fi____,2802.0,1572.0,2802.0
1484,feed,__feed____,_fid___,988.0,1573.0,988.0
1485,feeds,__feeds___,_fidz__,117.0,1574.0,117.0
1486,feel,__feel____,_fil___,4605.0,1575.0,4605.0
1487,feels,__feels___,_filz__,978.0,1576.0,978.0
1488,fees,__fees____,_fiz___,4824.0,1577.0,4824.0
1489,feet,__feet____,_fit___,2924.0,1578.0,2924.0
1490,feign,__feign___,_fen___,9.0,1579.0,9.0
1491,feigned,__feigned_,_fend__,7.0,1580.0,7.0
1492,feigns,__feigns__,_fenz__,3.0,1581.0,3.0
1493,feint,__feint___,_fent__,6.0,1582.0,6.0
1494,feints,__feints__,_fents_,5.0,1583.0,5.0
1495,fell,__fe_ll___,_fEl___,21296.0,1584.0,21296.0
1496,felt,__fe_lt___,_fElt__,2729.0,1585.0,2729.0
1497,fence,__fe_nce__,_fEns__,262.0,1587.0,262.0
1498,fern,__fe_rn___,_f^rn__,19.0,1589.0,19.0
1499,ferns,__fe_rns__,_f^rnz_,14.0,1590.0,14.0
1500,fetch,__fe_tch__,_fEtC__,434.0,1591.0,434.0
1501,fetched,__fe_tched,_fEtCt_,135.0,1592.0,135.0
1502,fete,__fe_te___,_fet___,17.0,1593.0,17.0
1503,fetes,__fe_tes__,_fets__,5.0,1594.0,5.0
1504,feud,__feud____,_fYd___,274.0,1595.0,274.0
1505,feuds,__feuds___,_fYdz__,35.0,1596.0,35.0
1506,few,__few_____,_fY____,17977.0,1597.0,17977.0
1507,fez,__fe_z____,_fEz___,9.0,1598.0,9.0
1508,fib,__fi_b____,_fIb___,1.0,1599.0,1.0
1509,fief,__fief____,_fif___,3.0,1600.0,3.0
1510,fiefs,__fiefs___,_fifs__,0.0,1601.0,0.0
1511,field,__field___,_fild__,4602.0,1602.0,4602.0
1512,fields,__fields__,_fildz_,1983.0,1603.0,1983.0
1513,fiend,__fiend___,_find__,8.0,1604.0,8.0
1514,fiends,__fiends__,_findz_,7.0,1605.0,7.0
1515,fierce,__fierce__,_firs__,514.0,1606.0,514.0
1516,fife,__fi_fe___,_fAf___,7.0,1607.0,7.0
1517,fifes,__fi_fes__,_fAfs__,1.0,1608.0,1.0
1518,fifth,__fi_fth__,_fIfT__,2095.0,1609.0,2095.0
1519,fig,__fi_g____,_fIg___,41.0,1610.0,41.0
1520,fight,__fi_ght__,_fAt___,5184.0,1611.0,5184.0
1521,fights,__fi_ghts_,_fAts__,420.0,1612.0,420.0
1522,figs,__fi_gs___,_fIgz__,9.0,1613.0,9.0
1523,filch,__fi_lch__,_fIlC__,1.0,1614.0,1.0
1524,filched,__fi_lched,_fIlCt_,3.0,1615.0,3.0
1525,file,__fi_le___,_fAl___,2523.0,1616.0,2523.0
1526,filed,__fi_led__,_fAld__,10100.0,1617.0,10100.0
1527,files,__fi_les__,_fAlz__,606.0,1618.0,606.0
1528,fill,__fi_ll___,_fIl___,1608.0,1619.0,1608.0
1529,filled,__fi_lled_,_fIld__,1803.0,1620.0,1803.0
1530,fills,__fi_lls__,_fIlz__,317.0,1621.0,317.0
1531,film,__fi_lm___,_fIlm__,4016.0,1622.0,4016.0
1532,films,__fi_lms__,_fIlmz_,1410.0,1623.0,1410.0
1533,filth,__fi_lth__,_fIlT__,19.0,1624.0,19.0
1534,filths,__fi_lths_,_fIlTs_,0.0,1625.0,0.0
1535,fin,__fi_n____,_fIn___,69.0,1626.0,69.0
1536,finch,__fi_nch__,_fInC__,29.0,1627.0,29.0
1537,find,__fi_nd___,_fAnd__,8820.0,1628.0,8820.0
1538,finds,__fi_nds__,_fAndz_,1290.0,1629.0,1290.0
1539,fine,__fi_ne___,_fAn___,3133.0,1630.0,3133.0
1540,fink,__fi_nk___,_fInk__,296.0,1631.0,296.0
1541,finks,__fi_nks__,_fInks_,15.0,1632.0,15.0
1542,fins,__fi_ns___,_fInz__,25.0,1633.0,25.0
1543,fir,__fi_r____,_f^r___,16.0,1634.0,16.0
1544,fire,__fi_re___,_fAr___,3925.0,1635.0,3925.0
1545,fires,__fi_res__,_fArz__,583.0,1636.0,583.0
1546,firm,__fi_rm___,_f^rm__,22031.0,1637.0,22031.0
1547,firms,__fi_rms__,_f^rmz_,10930.0,1638.0,10930.0
1548,firs,__fi_rs___,_f^rz__,4.0,1639.0,4.0
1549,first,__fi_rst__,_f^rst_,65180.0,1640.0,65180.0
1550,fish,__fi_sh___,_fIS___,1327.0,1643.0,663.5
1551,fish,__fi_sh___,_fIS___,1327.0,1644.0,663.5
1552,fist,__fi_st___,_fIst__,97.0,1645.0,97.0
1553,fists,__fi_sts__,_fIsts_,34.0,1646.0,34.0
1554,fit,__fi_t____,_fIt___,1630.0,1647.0,815.0
1555,fit,__fi_t____,_fIt___,1630.0,1648.0,815.0
1556,fits,__fi_ts___,_fIts__,397.0,1649.0,397.0
1557,five,__fi_ve___,_fAv___,20929.0,1650.0,20929.0
1558,fix,__fi_x____,_fIks__,773.0,1651.0,773.0
1559,fixed,__fi_xed__,_fIkst_,4179.0,1652.0,4179.0
1560,fizz,__fi_zz___,_fIz___,14.0,1653.0,14.0
1561,flag,_fla_g____,fl@g___,799.0,1654.0,799.0
1562,flags,_fla_gs___,fl@gz__,270.0,1655.0,270.0
1563,flail,_flail____,flel___,12.0,1656.0,12.0
1564,flailed,_flailed__,fleld__,2.0,1657.0,2.0
1565,flails,_flails___,flelz__,3.0,1658.0,3.0
1566,flair,_flair____,flEr___,107.0,1659.0,107.0
1567,flairs,_flairs___,flErz__,0.0,1660.0,0.0
1568,flak,_fla_k____,fl@k___,60.0,1661.0,60.0
1569,flake,_fla_ke___,flek___,3.0,1662.0,3.0
1570,flakes,_fla_kes__,fleks__,46.0,1663.0,46.0
1571,flame,_fla_me___,flem___,122.0,1664.0,122.0
1572,flames,_fla_mes__,flemz__,146.0,1665.0,146.0
1573,flan,_fla_n____,flan___,0.0,1666.0,0.0
1574,flank,_fla_nk___,fl@nk__,59.0,1668.0,59.0
1575,flanked,_fla_nked_,fl@nkt_,34.0,1669.0,34.0
1576,flanks,_fla_nks__,fl@nks_,19.0,1670.0,19.0
1577,flap,_fla_p____,fl@p___,182.0,1671.0,182.0
1578,flapped,_fla_pped_,fl@pt__,4.0,1672.0,4.0
1579,flaps,_fla_ps___,fl@ps__,105.0,1673.0,105.0
1580,flare,_fla_re___,flEr___,92.0,1674.0,92.0
1581,flared,_fla_red__,flErd__,102.0,1675.0,102.0
1582,flares,_fla_res__,flErz__,22.0,1676.0,22.0
1583,flash,_fla_sh___,fl@S___,212.0,1677.0,212.0
1584,flashed,_fla_shed_,fl@St__,78.0,1678.0,78.0
1585,flask,_fla_sk___,fl@sk__,12.0,1679.0,12.0
1586,flasks,_fla_sks__,fl@sks_,10.0,1680.0,10.0
1587,flat,_fla_t____,fl@t___,2476.0,1681.0,2476.0
1588,flaunt,_flaunt___,flant__,21.0,1682.0,21.0
1589,flaw,_flaw_____,fla____,185.0,1683.0,185.0
1590,flaws,_flaws____,flaz___,301.0,1684.0,301.0
1591,flax,_fla_x____,fl@ks__,8.0,1685.0,8.0
1592,flay,_flay_____,fle____,3.0,1686.0,3.0
1593,flea,_flea_____,fli____,40.0,1687.0,40.0
1594,fleas,_fleas____,fliz___,16.0,1688.0,16.0
1595,fleck,_fle_ck___,flEk___,10.0,1689.0,10.0
1596,flecks,_fle_cks__,flEks__,6.0,1690.0,6.0
1597,fledge,_fle_dge__,flEJ___,0.0,1691.0,0.0
1598,flee,_flee_____,fli____,163.0,1692.0,163.0
1599,fleet,_fleet____,flit___,1427.0,1693.0,1427.0
1600,fleets,_fleets___,flits__,139.0,1694.0,139.0
1601,flesh,_fle_sh___,flES___,179.0,1695.0,179.0
1602,flew,_flew_____,flu____,671.0,1696.0,671.0
1603,flex,_fle_x____,flEks__,73.0,1697.0,73.0
1604,flexed,_fle_xed__,flEkst_,14.0,1698.0,14.0
1605,flick,_fli_ck___,flIk___,75.0,1699.0,75.0
1606,flicked,_fli_cked_,flIkt__,4.0,1700.0,4.0
1607,flicks,_fli_cks__,flIks__,22.0,1701.0,22.0
1608,flies,_flies____,flAz___,322.0,1702.0,322.0
1609,flight,_fli_ght__,flAt___,3488.0,1703.0,3488.0
1610,flights,_fli_ghts_,flAts__,1997.0,1704.0,1997.0
1611,flinch,_fli_nch__,flInC__,17.0,1705.0,17.0
1612,flinched,_fli_nched,flInCt_,11.0,1706.0,11.0
1613,fling,_fli_ng___,flIng__,36.0,1707.0,36.0
1614,flings,_fli_ngs__,flIngz_,8.0,1708.0,8.0
1615,flint,_fli_nt___,flInt__,143.0,1709.0,143.0
1616,flints,_fli_nts__,flInts_,1.0,1710.0,1.0
1617,flip,_fli_p____,flIp___,280.0,1711.0,280.0
1618,flipped,_fli_pped_,flIpt__,51.0,1712.0,51.0
1619,flips,_fli_ps___,flIps__,29.0,1713.0,29.0
1620,flirt,_fli_rt___,fl^rt__,13.0,1714.0,13.0
1621,flirts,_fli_rts__,fl^rts_,10.0,1715.0,10.0
1622,flit,_fli_t____,flIt___,9.0,1716.0,9.0
1623,flits,_fli_ts___,flIts__,5.0,1718.0,5.0
1624,float,_float____,flot___,289.0,1719.0,289.0
1625,floats,_floats___,flots__,67.0,1720.0,67.0
1626,flock,_flo_ck___,flak___,155.0,1721.0,155.0
1627,flocks,_flo_cks__,flaks__,29.0,1722.0,29.0
1628,floe,_floe_____,flo____,0.0,1723.0,0.0
1629,floes,_floes____,floz___,3.0,1724.0,3.0
1630,flog,_flo_g____,flag___,6.0,1725.0,6.0
1631,flogged,_flo_gged_,flagd__,6.0,1726.0,6.0
1632,flogs,_flo_gs___,flagz__,1.0,1727.0,1.0
1633,flood,_flood____,fl^d___,691.0,1728.0,691.0
1634,floods,_floods___,fl^dz__,101.0,1729.0,101.0
1635,floor,_floor____,flor___,3171.0,1730.0,3171.0
1636,floors,_floors___,florz__,330.0,1731.0,330.0
1637,flop,_flo_p____,flap___,158.0,1732.0,158.0
1638,flopped,_flo_pped_,flapt__,159.0,1733.0,159.0
1639,flops,_flo_ps___,flaps__,88.0,1734.0,88.0
1640,floss,_flo_ss___,flas___,25.0,1735.0,25.0
1641,flounce,_flounce__,flWns__,2.0,1736.0,2.0
1642,flounced,_flounced_,flWnst_,1.0,1737.0,1.0
1643,flour,_flour____,flWr___,132.0,1738.0,132.0
1644,flours,_flours___,flWrz__,1.0,1739.0,1.0
1645,flout,_flout____,flWt___,17.0,1740.0,17.0
1646,flow,_flow_____,flo____,3772.0,1741.0,3772.0
1647,flows,_flows____,floz___,649.0,1742.0,649.0
1648,flu,_flu______,flu____,114.0,1743.0,114.0
1649,flub,_flu_b____,fl^b___,2.0,1744.0,2.0
1650,flubbed,_flu_bbed_,fl^bd__,5.0,1745.0,5.0
1651,flubs,_flu_bs___,fl^bz__,7.0,1746.0,7.0
1652,flue,_flue_____,flu____,13.0,1747.0,13.0
1653,fluff,_flu_ff___,fl^f___,32.0,1748.0,32.0
1654,fluffs,_flu_ffs__,fl^fs__,6.0,1749.0,6.0
1655,fluke,_flu_ke___,fluk___,87.0,1750.0,87.0
1656,flukes,_flu_kes__,fluks__,1.0,1751.0,1.0
1657,flume,_flu_me___,flum___,13.0,1752.0,13.0
1658,flung,_flu_ng___,fl^ng__,169.0,1753.0,169.0
1659,flunk,_flu_nk___,fl^nk__,25.0,1754.0,25.0
1660,flus,_flu_s____,fluz___,0.0,1755.0,0.0
1661,flush,_flu_sh___,fl^S___,228.0,1756.0,228.0
1662,flushed,_flu_shed_,fl^St__,38.0,1757.0,38.0
1663,flute,_flu_te___,flut___,55.0,1758.0,55.0
1664,flutes,_flu_tes__,fluts__,12.0,1759.0,12.0
1665,flux,_flu_x____,fl^ks__,40.0,1760.0,40.0
1666,fly,_fly______,flA____,1306.0,1761.0,1306.0
1667,foal,__foal____,_fol___,10.0,1762.0,10.0
1668,foals,__foals___,_folz__,2.0,1763.0,2.0
1669,foam,__foam____,_fom___,161.0,1764.0,161.0
1670,foams,__foams___,_fomz__,11.0,1765.0,11.0
1671,fob,__fo_b____,_fab___,7.0,1766.0,7.0
