,word,ort,pho,wf,sfi,d,u,f,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,gr10,gr11,gr12,gr13,gr14,img,wn_idx
1563,flapped,_fla_pped_,_fl@pt____,4.0,44.40000153,0.421099991,2.0,82.0,3.0,6.0,6.0,5.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,82.0,4.193220934316819,1672
1564,flaps,_fla_ps___,_fl@ps____,105.0,42.40000153,0.662299991,1.0,40.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,40.0,4.193220934316819,1673
1565,flare,_fla_re___,_flEr_____,92.0,43.70000076,0.524399996,2.0,65.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,65.0,4.5,1674
1566,flared,_fla_red__,_flErd____,102.0,44.79999924,0.591499984,3.0,76.0,0.0,0.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,76.0,4.193220934316819,1675
1567,flares,_fla_res__,_flErz____,22.0,41.79999924,0.614099979,1.0,37.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,37.0,4.193220934316819,1676
1568,flash,_fla_sh___,_fl@S_____,212.0,53.40000153,0.794700027,21.0,445.0,42.0,41.0,32.0,27.0,29.0,25.0,23.0,20.0,20.0,15.0,14.0,14.0,5.0,445.0,4.9,1677
1569,flashed,_fla_shed_,_fl@St____,78.0,50.70000076,0.608399987,11.0,284.0,1.0,17.0,18.0,15.0,17.0,17.0,17.0,14.0,13.0,9.0,7.0,4.0,2.0,284.0,4.193220934316819,1678
1570,flask,_fla_sk___,_fl@sk____,12.0,45.59999847,0.739199996,3.0,80.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,5.0,1.0,80.0,5.0,1679
1571,flasks,_fla_sks__,_fl@sks___,10.0,38.40000153,0.426699996,0.696200013,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.193220934316819,1680
1572,flat,_fla_t____,_fl@t_____,2476.0,60.0,0.850399971,99.0,1951.0,56.0,106.0,100.0,116.0,105.0,86.0,92.0,91.0,95.0,90.0,84.0,80.0,38.0,1951.0,4.1,1681
1573,flaunt,_flaunt___,_flant____,21.0,25.29999924,0.192399994,0.033599999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8,1682
1574,flaw,_flaw_____,_fla______,185.0,41.70000076,0.799700022,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,30.0,3.1,1683
1575,flaws,_flaws____,_flaz_____,301.0,42.29999924,0.663299978,1.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,40.0,4.193220934316819,1684
1576,flax,_fla_x____,_fl@ks____,8.0,46.20000076,0.7379999759999999,4.0,91.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,4.0,1.0,91.0,2.0,1685
1577,flay,_flay_____,_fle______,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,1686
1578,flea,_flea_____,_fli______,40.0,44.70000076,0.49660000200000004,2.0,83.0,13.0,14.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,83.0,6.5,1687
1579,fleas,_fleas____,_fliz_____,16.0,46.0,0.6114000079999999,3.0,98.0,1.0,13.0,6.0,6.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,98.0,4.193220934316819,1688
1580,fleck,_fle_ck___,_flEk_____,10.0,30.0,0.45260000200000006,0.10000000099999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.6,1689
1581,flecks,_fle_cks__,_flEks____,6.0,37.70000076,0.405999988,0.5946999789999999,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.193220934316819,1690
1582,fledge,_fle_dge__,_flEJ_____,0.0,28.10000038,0.0,0.065300003,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.193220934316819,1691
1583,flee,_flee_____,_fli______,163.0,45.90000153,0.615700006,3.0,94.0,0.0,1.0,1.0,2.0,4.0,5.0,6.0,6.0,5.0,5.0,4.0,3.0,2.0,94.0,3.9,1692
1584,fleet,_fleet____,_flit_____,1427.0,51.20000076,0.658800006,13.0,304.0,1.0,1.0,3.0,3.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,12.0,304.0,4.5,1693
1585,fleets,_fleets___,_flits____,139.0,43.0,0.700999975,2.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,45.0,4.193220934316819,1694
1586,flesh,_fle_sh___,_flES_____,179.0,52.59999847,0.866100013,18.0,347.0,3.0,6.0,15.0,15.0,18.0,20.0,22.0,20.0,22.0,23.0,22.0,18.0,6.0,347.0,5.7,1695
1587,flew,_flew_____,_flu______,671.0,56.20000076,0.561800003,42.0,1070.0,116.0,113.0,79.0,76.0,64.0,54.0,44.0,37.0,32.0,25.0,20.0,15.0,8.0,1070.0,3.7,1696
1588,flex,_fle_x____,_flEks____,73.0,39.79999924,0.5898,0.9611999990000001,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.1,1697
1589,flexed,_fle_xed__,_flEkst___,14.0,36.59999847,0.21750000100000003,0.457399994,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.193220934316819,1698
1590,flick,_fli_ck___,_flIk_____,75.0,43.40000153,0.811500013,2.0,44.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,44.0,3.9,1699
1591,flicked,_fli_cked_,_flIkt____,4.0,42.40000153,0.34900000700000006,1.0,57.0,0.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,57.0,4.193220934316819,1700
1592,flicks,_fli_cks__,_flIks____,22.0,35.5,0.483200014,0.358799994,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.193220934316819,1701
1593,flies,_flies____,_flAz_____,322.0,53.90000153,0.7918999790000001,24.0,511.0,69.0,25.0,25.0,26.0,26.0,25.0,24.0,23.0,23.0,21.0,22.0,22.0,6.0,511.0,4.193220934316819,1702
1594,flight,_fli_ght__,_flAt_____,3488.0,56.70000076,0.911899984,46.0,864.0,6.0,14.0,23.0,31.0,39.0,56.0,54.0,54.0,58.0,64.0,68.0,57.0,28.0,864.0,5.0,1703
1595,flights,_fli_ghts_,_flAts____,1997.0,49.20000076,0.84009999,8.0,163.0,4.0,5.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,8.0,8.0,9.0,8.0,163.0,4.193220934316819,1704
1596,flinch,_fli_nch__,_flInC____,17.0,35.59999847,0.353100002,0.36629998700000005,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.9,1705
1597,flinched,_fli_nched,_flInCt___,11.0,36.59999847,0.301299989,0.461299986,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.193220934316819,1706
1598,fling,_fli_ng___,_flIng____,36.0,41.09999847,0.430200011,1.0,38.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,38.0,3.6,1707
1599,flings,_fli_ngs__,_flIngz___,8.0,30.29999924,0.25630000199999997,0.10779999900000001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.193220934316819,1708
1600,flint,_fli_nt___,_flInt____,143.0,48.70000076,0.7548000220000001,7.0,156.0,0.0,0.0,6.0,6.0,7.0,5.0,6.0,5.0,5.0,6.0,5.0,4.0,3.0,156.0,4.4,1709
1601,flints,_fli_nts__,_flInts___,1.0,32.29999924,0.18700000600000002,0.168599993,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.193220934316819,1710
1602,flip,_fli_p____,_flIp_____,280.0,46.20000076,0.674399972,4.0,95.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,95.0,4.0,1711
1603,flipped,_fli_pped_,_flIpt____,51.0,45.70000076,0.46939998899999996,3.0,105.0,4.0,9.0,8.0,7.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,105.0,4.193220934316819,1712
1604,flips,_fli_ps___,_flIps____,29.0,36.59999847,0.567600012,0.45969998799999995,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.193220934316819,1713
1605,flirt,_fli_rt___,_fl^rt____,13.0,35.09999847,0.313699991,0.322699994,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.9,1714
1606,flirts,_fli_rts__,_fl^rts___,10.0,3.5,0.0,0.0002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.193220934316819,1715
1607,flit,_fli_t____,_flIt_____,9.0,34.29999924,0.423999995,0.266499996,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.193220934316819,1716
1608,flits,_fli_ts___,_flIts____,5.0,30.29999924,0.25630000199999997,0.10779999900000001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.193220934316819,1718
1609,float,_float____,_flot_____,289.0,53.09999847,0.828000009,20.0,406.0,8.0,27.0,23.0,22.0,25.0,21.0,20.0,17.0,17.0,14.0,14.0,12.0,9.0,406.0,5.1,1719
1610,floats,_floats___,_flots____,67.0,47.09999847,0.6153,5.0,128.0,6.0,9.0,7.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,0.0,128.0,4.193220934316819,1720
1611,flock,_flo_ck___,_flak_____,155.0,50.79999924,0.607800007,11.0,290.0,13.0,16.0,18.0,15.0,16.0,16.0,17.0,17.0,14.0,9.0,8.0,6.0,2.0,290.0,5.6,1721
1612,flocks,_flo_cks__,_flaks____,29.0,48.0,0.726199985,6.0,139.0,0.0,0.0,3.0,4.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,2.0,139.0,4.193220934316819,1722
1613,floe,_floe_____,_flo______,0.0,35.29999924,0.186299995,0.33640000200000003,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.193220934316819,1723
1614,floes,_floes____,_floz_____,3.0,37.0,0.423900008,0.5063999889999999,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.193220934316819,1724
1615,flog,_flo_g____,_flag_____,6.0,30.39999962,0.494800001,0.108400002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5,1725
1616,flogged,_flo_gged_,_flagd____,6.0,35.59999847,0.493299991,0.363700002,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.193220934316819,1726
1617,flogs,_flo_gs___,_flagz____,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,1727
1618,flood,_flood____,_fl^d_____,691.0,53.09999847,0.873300016,20.0,392.0,0.0,12.0,13.0,11.0,15.0,19.0,19.0,18.0,18.0,18.0,21.0,21.0,17.0,392.0,6.4,1728
1619,floods,_floods___,_fl^dz____,101.0,49.90000153,0.778599977,9.0,205.0,0.0,2.0,4.0,3.0,8.0,10.0,11.0,10.0,9.0,11.0,11.0,12.0,6.0,205.0,4.193220934316819,1729
1620,floor,_floor____,_flor_____,3171.0,62.59999847,0.8986999990000001,183.0,3431.0,246.0,227.0,250.0,244.0,247.0,227.0,225.0,207.0,194.0,156.0,153.0,125.0,62.0,3431.0,4.193220934316819,1730
1621,floors,_floors___,_florz____,330.0,52.09999847,0.8513000009999999,16.0,320.0,3.0,13.0,17.0,14.0,13.0,15.0,16.0,18.0,22.0,23.0,20.0,18.0,10.0,320.0,4.193220934316819,1731
1622,flop,_flo_p____,_flap_____,158.0,40.59999847,0.37540000700000004,1.0,36.0,12.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.8,1732
1623,flopped,_flo_pped_,_flapt____,159.0,42.70000076,0.34490001200000003,1.0,61.0,7.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,61.0,4.193220934316819,1733
1624,flops,_flo_ps___,_flaps____,88.0,29.29999924,0.289900005,0.08510000300000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.193220934316819,1734
1625,floss,_flo_ss___,_flas_____,25.0,34.40000153,0.0911,0.275999993,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,5.7,1735
1626,flounce,_flounce__,_flWns____,2.0,25.10000038,0.0,0.032600001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,1736
1627,flounced,_flounced_,_flWnst___,1.0,29.29999924,0.289400011,0.08500000099999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.193220934316819,1737
1628,flour,_flour____,_flWr_____,132.0,52.29999924,0.608299971,16.0,421.0,56.0,18.0,12.0,18.0,20.0,16.0,16.0,14.0,13.0,12.0,13.0,14.0,6.0,421.0,6.5,1738
1629,flours,_flours___,_flWrz____,1.0,30.39999962,0.197500005,0.1109,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.193220934316819,1739
1630,flout,_flout____,_flWt_____,17.0,27.70000076,0.31549999100000004,0.058800001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.193220934316819,1740
1631,flow,_flow_____,_flo______,3772.0,58.70000076,0.804799974,74.0,1553.0,1.0,10.0,19.0,26.0,58.0,69.0,75.0,79.0,78.0,92.0,92.0,106.0,114.0,1553.0,3.8,1741
1632,flows,_flows____,_floz_____,649.0,55.40000153,0.72299999,34.0,780.0,1.0,5.0,18.0,22.0,39.0,45.0,45.0,41.0,38.0,37.0,42.0,42.0,24.0,780.0,4.193220934316819,1742
1633,flu,_flu______,_flu______,114.0,44.09999847,0.316000015,2.0,107.0,1.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,107.0,4.2,1743
1634,flub,_flu_b____,_fl^b_____,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1744
1635,flubbed,_flu_bbed_,_fl^bd____,5.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,1745
1636,flubs,_flu_bs___,_fl^bz____,7.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,1746
1637,flue,_flue_____,_flu______,13.0,35.70000076,0.135600001,0.37259998899999996,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.193220934316819,1747
1638,fluff,_flu_ff___,_fl^f_____,32.0,41.40000153,0.394300014,1.0,42.0,10.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,42.0,3.8,1748
1639,fluffs,_flu_ffs__,_fl^fs____,6.0,29.29999924,0.289900005,0.08510000300000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.193220934316819,1749
1640,fluke,_flu_ke___,_fluk_____,87.0,35.20000076,0.363299996,0.33039999,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.9,1750
1641,flukes,_flu_kes__,_fluks____,1.0,38.09999847,0.439500004,0.653100014,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.193220934316819,1751
1642,flume,_flu_me___,_flum_____,13.0,32.79999924,0.300500005,0.190699995,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.8,1752
1643,flung,_flu_ng___,_fl^ng____,169.0,49.70000076,0.350800008,9.0,306.0,0.0,5.0,16.0,18.0,15.0,13.0,14.0,13.0,13.0,11.0,9.0,6.0,0.0,306.0,3.4,1753
1644,flunk,_flu_nk___,_fl^nk____,25.0,31.70000076,0.204699993,0.148800001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1754
1645,flus,_flu_s____,_fluz_____,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,1755
1646,flush,_flu_sh___,_fl^S_____,228.0,46.09999847,0.6204000120000001,4.0,103.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,5.0,6.0,5.0,7.0,7.0,2.0,103.0,3.8,1756
1647,flushed,_flu_shed_,_fl^St____,38.0,48.40000153,0.7527999879999999,6.0,146.0,0.0,4.0,4.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0,6.0,5.0,2.0,146.0,4.193220934316819,1757
1648,flute,_flu_te___,_flut_____,55.0,46.79999924,0.594900012,4.0,117.0,10.0,10.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,0.0,117.0,6.3,1758
1649,flutes,_flu_tes__,_fluts____,12.0,40.40000153,0.54610002,1.0,29.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,29.0,4.193220934316819,1759
1650,flux,_flu_x____,_fl^ks____,40.0,42.29999924,0.30340001,1.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,78.0,2.2,1760
1651,fly,_fly______,_flA______,1306.0,59.40000153,0.776899993,86.0,1799.0,396.0,182.0,110.0,112.0,99.0,90.0,83.0,79.0,72.0,61.0,55.0,40.0,22.0,1799.0,5.9,1761
1652,foal,__foal____,__fol_____,10.0,41.5,0.341300011,1.0,46.0,13.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,1762
1653,foals,__foals___,__folz____,2.0,30.39999962,0.313699991,0.110699996,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.193220934316819,1763
1654,foam,__foam____,__fom_____,161.0,48.09999847,0.799099982,6.0,131.0,1.0,1.0,5.0,5.0,8.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,2.0,131.0,5.7,1764
1655,foams,__foams___,__fomz____,11.0,36.0,0.458400011,0.394400001,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.193220934316819,1765
1656,fob,__fo_b____,__fab_____,7.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,1766
1657,fobs,__fo_bs___,__fabz____,0.0,25.10000038,0.0,0.032600001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.193220934316819,1767
1658,foe,__foe_____,__fo______,184.0,43.40000153,0.605300009,2.0,53.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,53.0,3.5,1768
1659,foes,__foes____,__foz_____,286.0,41.90000153,0.597100019,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,38.0,4.193220934316819,1769
1660,fog,__fo_g____,__fag_____,107.0,53.70000076,0.790400028,23.0,482.0,26.0,27.0,27.0,25.0,26.0,27.0,28.0,27.0,28.0,31.0,25.0,17.0,2.0,482.0,6.0,1770
1661,fogs,__fo_gs___,__fagz____,3.0,34.59999847,0.306499988,0.290399998,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.193220934316819,1771
1662,foil,__foil____,__fOl_____,151.0,46.79999924,0.717700005,4.0,110.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,110.0,4.193220934316819,1772
1663,foils,__foils___,__fOlz____,13.0,28.79999924,0.264400005,0.075499997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.193220934316819,1773
1664,foist,__foist___,__fOst____,6.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,1774
1665,foists,__foists__,__fOsts___,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,1775
1666,fold,__fo_ld___,__fold____,264.0,50.09999847,0.899600029,10.0,191.0,28.0,8.0,11.0,10.0,10.0,7.0,9.0,9.0,8.0,8.0,8.0,5.0,5.0,191.0,5.4,1776
1667,folds,__fo_lds__,__foldz___,28.0,49.5,0.880299985,8.0,171.0,0.0,2.0,6.0,7.0,11.0,10.0,11.0,10.0,7.0,6.0,6.0,6.0,6.0,171.0,4.193220934316819,1777
1668,folk,__fo_lk___,__fok_____,307.0,52.20000076,0.765200019,16.0,344.0,0.0,2.0,8.0,12.0,16.0,18.0,18.0,19.0,16.0,17.0,14.0,13.0,12.0,344.0,4.4,1778
1669,folks,__fo_lks__,__foks____,559.0,52.40000153,0.523699999,17.0,454.0,9.0,36.0,37.0,31.0,27.0,20.0,19.0,18.0,13.0,9.0,7.0,5.0,1.0,454.0,4.193220934316819,1779
1670,fond,__fo_nd___,__fand____,186.0,51.20000076,0.747099996,13.0,279.0,9.0,7.0,12.0,14.0,15.0,13.0,13.0,13.0,12.0,12.0,11.0,9.0,5.0,279.0,2.9,1780
1671,font,__fo_nt___,__fant____,16.0,34.0,0.23549999300000002,0.248899996,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.5,1781
1672,fonts,__fo_nts__,__fants___,11.0,31.0,0.315899998,0.12690000199999998,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.193220934316819,1782
1673,food,__food____,__fud_____,10915.0,67.59999847,0.7534000279999999,570.0,12410.0,454.0,529.0,663.0,686.0,666.0,642.0,620.0,637.0,634.0,579.0,552.0,530.0,365.0,12410.0,6.0,1783
1674,foods,__foods___,__fudz____,2313.0,59.0,0.5347999929999999,78.0,2361.0,26.0,41.0,73.0,80.0,88.0,87.0,87.0,93.0,96.0,88.0,89.0,89.0,53.0,2361.0,4.193220934316819,1784
1675,fool,__fool____,__ful_____,234.0,52.20000076,0.6036999820000001,16.0,400.0,33.0,44.0,37.0,34.0,17.0,15.0,13.0,12.0,12.0,11.0,9.0,5.0,2.0,400.0,3.7,1785
1676,fools,__fools___,__fulz____,75.0,45.29999924,0.601100028,3.0,82.0,0.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,82.0,4.193220934316819,1786
1677,foot,__foot____,__fUt_____,1258.0,60.79999924,0.892499983,121.0,2283.0,152.0,134.0,140.0,152.0,147.0,148.0,145.0,143.0,136.0,133.0,125.0,98.0,37.0,2283.0,6.7,1787
1678,fop,__fo_p____,__fap_____,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,1788
1679,fops,__fo_ps___,__faps____,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,1789
1680,for,__fo_r____,__for_____,466133.0,79.0,0.988399982,7854.0,136943.0,5851.0,5615.0,6423.0,6559.0,7241.0,7492.0,7632.0,7771.0,7925.0,8169.0,8314.0,8616.0,9256.0,136943.0,1.3,1790
1681,force,__fo_rce__,__fors____,12934.0,62.70000076,0.778699994,185.0,3924.0,3.0,23.0,49.0,83.0,128.0,151.0,170.0,183.0,198.0,223.0,241.0,271.0,278.0,3924.0,3.3,1791
1682,ford,__fo_rd___,__ford____,7560.0,53.20000076,0.773299992,20.0,439.0,17.0,12.0,17.0,17.0,13.0,13.0,12.0,14.0,13.0,13.0,15.0,19.0,28.0,439.0,5.2,1792
1683,fords,__fo_rds__,__fordz___,71.0,39.0,0.561100006,0.800899982,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.193220934316819,1793
1684,fore,__fo_re___,__for_____,54.0,40.79999924,0.437000006,1.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,37.0,1.9,1794
1685,forge,__fo_rge__,__forJ____,407.0,45.59999847,0.7389000059999999,3.0,78.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,78.0,3.3,1796
1686,fork,__fo_rk___,__fork____,69.0,51.09999847,0.755299985,12.0,274.0,13.0,13.0,10.0,10.0,9.0,13.0,13.0,11.0,10.0,9.0,6.0,5.0,1.0,274.0,6.6,1797
1687,forks,__fo_rks__,__forks___,32.0,45.0,0.468300015,3.0,94.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,94.0,4.193220934316819,1798
1688,form,__fo_rm___,__form____,5838.0,65.80000305,0.917900026,384.0,7135.0,17.0,45.0,100.0,141.0,250.0,310.0,331.0,368.0,406.0,493.0,537.0,608.0,665.0,7135.0,2.5,1799
1689,forms,__fo_rms__,__formz___,1586.0,61.59999847,0.9049000140000001,145.0,2727.0,2.0,13.0,36.0,52.0,78.0,104.0,117.0,128.0,145.0,173.0,182.0,214.0,288.0,2727.0,4.193220934316819,1800
