,word,ort,pho,wf,adjusted_wf
1523,fade,__fa_de___,__fed___,5.61,5.61
1524,fades,__fa_des__,__fedz__,1.92,1.92
1525,fads,__fa_ds___,__f@dz__,0.08,0.08
1526,fag,__fa_g____,__f@g___,5.39,5.39
1527,fags,__fa_gs___,__f@gz__,1.53,1.53
1528,fail,__fail____,__fel___,24.59,24.59
1529,failed,__failed__,__feld__,28.76,28.76
1530,fails,__fails___,__felz__,5.12,5.12
1531,faint,__faint___,__fent__,9.27,9.27
1532,fair,__fair____,__fEr___,94.75,94.75
1533,faith,__faith___,__feT___,46.33,46.33
1534,faiths,__faiths__,__feTs__,0.25,0.25
1535,fake,__fa_ke___,__fek___,36.33,36.33
1536,fall,__fa_ll___,__fal___,118.51,118.51
1537,falls,__fa_lls__,__falz__,25.51,25.51
1538,false,__fa_lse__,__fals__,0.0,0.0
1539,fame,__fa_me___,__fem___,8.65,8.65
1540,fames,__fa_mes__,__femz__,0.0,0.0
1541,fan,__fa_n____,__f@n___,35.14,35.14
1542,fang,__fa_ng___,__f@ng__,1.92,1.92
1543,fangs,__fa_ngs__,__f@ngz_,1.78,1.78
1544,fans,__fa_ns___,__f@nz__,13.94,13.94
1545,far,__fa_r____,__far___,220.76,220.76
1546,farce,__fa_rce__,__fars__,1.75,1.75
1547,fare,__fa_re___,__fEr___,6.16,6.16
1548,fares,__fa_res__,__fErz__,0.63,0.63
1549,farm,__fa_rm___,__farm__,30.04,30.04
1550,farms,__fa_rms__,__farmz_,2.84,2.84
1551,fart,__fa_rt___,__fart__,6.43,6.43
1552,fast,__fa_st___,__f@st__,137.45,137.45
1553,fat,__fa_t____,__f@t___,79.43,79.43
1554,fate,__fa_te___,__fet___,26.96,26.96
1555,fates,__fa_tes__,__fets__,1.16,1.16
1556,fault,__fault___,__falt__,104.12,104.12
1557,faults,__faults__,__falts_,2.08,2.08
1558,faun,__faun____,__fan___,0.51,0.51
1559,fauns,__fauns___,__fanz__,0.04,0.04
1560,fawn,__fawn____,__fan___,0.71,0.71
1561,fawned,__fawned__,__fand__,0.02,0.02
1562,fawns,__fawns___,__fanz__,0.08,0.08
1563,faze,__fa_ze___,__fez___,0.43,0.43
1564,fazed,__fa_zed__,__fezd__,0.14,0.14
1565,fear,__fear____,__fir___,69.08,69.08
1566,fears,__fears___,__firz__,9.16,9.16
1567,feast,__feast___,__fist__,6.71,6.71
1568,feasts,__feasts__,__fists_,0.22,0.22
1569,feat,__feat____,__fit___,1.53,1.53
1570,feats,__feats___,__fits__,0.47,0.47
1571,fed,__fe_d____,__fEd___,15.88,15.88
1572,fee,__fee_____,__fi____,9.69,9.69
1573,feed,__feed____,__fid___,42.39,42.39
1574,feeds,__feeds___,__fidz__,3.78,3.78
1575,feel,__feel____,__fil___,627.24,627.24
1576,feels,__feels___,__filz__,69.98,69.98
1577,fees,__fees____,__fiz___,2.82,2.82
1578,feet,__feet____,__fit___,120.73,120.73
1579,feign,__feign___,__fen___,0.45,0.45
1580,feigned,__feigned_,__fend__,0.16,0.16
1581,feigns,__feigns__,__fenz__,0.08,0.08
1582,feint,__feint___,__fent__,0.45,0.45
1583,feints,__feints__,__fents_,0.0,0.0
1584,fell,__fe_ll___,__fEl___,73.0,73.0
1585,felt,__fe_lt___,__fElt__,119.82,119.82
1586,fen,__fe_n____,__fEn___,0.35,0.35
1587,fence,__fe_nce__,__fEns__,16.06,16.06
1588,fens,__fe_ns___,__fEnz__,0.18,0.18
1589,fern,__fe_rn___,__f^rn__,3.2,3.2
1590,ferns,__fe_rns__,__f^rnz_,0.27,0.27
1591,fetch,__fe_tch__,__fEtC__,10.96,10.96
1592,fetched,__fe_tched,__fEtCt_,0.55,0.55
1593,fete,__fe_te___,__fet___,0.31,0.31
1594,fetes,__fe_tes__,__fets__,0.04,0.04
1595,feud,__feud____,__fYd___,1.29,1.29
1596,feuds,__feuds___,__fYdz__,0.16,0.16
1597,few,__few_____,__fY____,301.82,301.82
1598,fez,__fe_z____,__fEz___,3.84,3.84
1599,fib,__fi_b____,__fIb___,1.27,1.27
1600,fief,__fief____,__fif___,0.02,0.02
1601,fiefs,__fiefs___,__fifs__,0.0,0.0
1602,field,__field___,__fild__,70.2,70.2
1603,fields,__fields__,__fildz_,11.94,11.94
1604,fiend,__fiend___,__find__,2.8,2.8
1605,fiends,__fiends__,__findz_,0.76,0.76
1606,fierce,__fierce__,__firs__,4.78,4.78
1607,fife,__fi_fe___,__fAf___,1.04,1.04
1608,fifes,__fi_fes__,__fAfs__,0.04,0.04
1609,fifth,__fi_fth__,__fIfT__,19.2,19.2
1610,fig,__fi_g____,__fIg___,1.22,1.22
1611,fight,__fi_ght__,__fAt___,201.08,201.08
1612,fights,__fi_ghts_,__fAts__,12.04,12.04
1613,figs,__fi_gs___,__fIgz__,0.69,0.69
1614,filch,__fi_lch__,__fIlC__,0.14,0.14
1615,filched,__fi_lched,__fIlCt_,0.04,0.04
1616,file,__fi_le___,__fAl___,44.04,44.04
1617,filed,__fi_led__,__fAld__,8.8,8.8
1618,files,__fi_les__,__fAlz__,26.63,26.63
1619,fill,__fi_ll___,__fIl___,43.94,43.94
1620,filled,__fi_lled_,__fIld__,27.18,27.18
1621,fills,__fi_lls__,__fIlz__,2.61,2.61
1622,film,__fi_lm___,__fIlm__,65.25,65.25
1623,films,__fi_lms__,__fIlmz_,14.71,14.71
1624,filth,__fi_lth__,__fIlT__,4.53,4.53
1625,filths,__fi_lths_,__fIlTs_,0.0,0.0
1626,fin,__fi_n____,__fIn___,3.41,3.41
1627,finch,__fi_nch__,__fInC__,4.02,4.02
1628,find,__fi_nd___,__fAnd__,830.96,830.96
1629,finds,__fi_nds__,__fAndz_,29.25,29.25
1630,fine,__fi_ne___,__fAn___,598.08,598.08
1631,fink,__fi_nk___,__fInk__,4.04,4.04
1632,finks,__fi_nks__,__fInks_,0.08,0.08
1633,fins,__fi_ns___,__fInz__,1.18,1.18
1634,fir,__fi_r____,__f^r___,0.43,0.43
1635,fire,__fi_re___,__fAr___,215.49,215.49
1636,fires,__fi_res__,__fArz__,9.76,9.76
1637,firm,__fi_rm___,__f^rm__,35.27,35.27
1638,firms,__fi_rms__,__f^rmz_,1.61,1.61
1639,firs,__fi_rs___,__f^rz__,0.18,0.18
1640,first,__fi_rst__,__f^rst_,840.57,840.57
1641,firth,__fi_rth__,__f^rT__,0.16,0.16
1642,firths,__fi_rths_,__f^rTs_,0.0,0.0
1643,fish,__fi_sh___,__fIS___,83.49,41.745
1644,fish,__fi_sh___,__fIS___,83.49,41.745
1645,fist,__fi_st___,__fIst__,7.35,7.35
1646,fists,__fi_sts__,__fIsts_,2.96,2.96
1647,fit,__fi_t____,__fIt___,57.59,28.795
1648,fit,__fi_t____,__fIt___,57.59,28.795
1649,fits,__fi_ts___,__fIts__,12.82,12.82
1650,five,__fi_ve___,__fAv___,285.45,285.45
1651,fix,__fi_x____,__fIks__,86.78,86.78
1652,fixed,__fi_xed__,__fIkst_,32.29,32.29
1653,fizz,__fi_zz___,__fIz___,0.61,0.61
1654,flag,_fla_g____,_fl@g___,17.49,17.49
1655,flags,_fla_gs___,_fl@gz__,3.43,3.43
1656,flail,_flail____,_flel___,0.18,0.18
1657,flailed,_flailed__,_fleld__,0.08,0.08
1658,flails,_flails___,_flelz__,0.04,0.04
1659,flair,_flair____,_flEr___,2.27,2.27
1660,flairs,_flairs___,_flErz__,0.0,0.0
1661,flak,_fla_k____,_fl@k___,1.06,1.06
1662,flake,_fla_ke___,_flek___,1.75,1.75
1663,flakes,_fla_kes__,_fleks__,1.86,1.86
1664,flame,_fla_me___,_flem___,9.04,9.04
1665,flames,_fla_mes__,_flemz__,7.49,7.49
1666,flan,_fla_n____,_fl@n___,1.69,1.69
1667,flange,_fla_nge__,_flenJ__,0.24,0.24
1668,flank,_fla_nk___,_fl@nk__,4.63,4.63
1669,flanked,_fla_nked_,_fl@nkt_,0.31,0.31
1670,flanks,_fla_nks__,_fl@nks_,0.65,0.65
1671,flap,_fla_p____,_fl@p___,2.65,2.65
1672,flapped,_fla_pped_,_fl@pt__,0.12,0.12
1673,flaps,_fla_ps___,_fl@ps__,1.43,1.43
1674,flare,_fla_re___,_flEr___,4.22,4.22
1675,flared,_fla_red__,_flErd__,0.31,0.31
1676,flares,_fla_res__,_flErz__,1.41,1.41
1677,flash,_fla_sh___,_fl@S___,15.35,15.35
1678,flashed,_fla_shed_,_fl@St__,1.27,1.27
1679,flask,_fla_sk___,_fl@sk__,1.12,1.12
1680,flasks,_fla_sks__,_fl@sks_,0.06,0.06
1681,flat,_fla_t____,_fl@t___,26.22,26.22
1682,flaunt,_flaunt___,_flant__,0.98,0.98
1683,flaw,_flaw_____,_fla____,3.04,3.04
1684,flaws,_flaws____,_flaz___,1.78,1.78
1685,flax,_fla_x____,_fl@ks__,0.47,0.47
1686,flay,_flay_____,_fle____,0.16,0.16
1687,flea,_flea_____,_fli____,3.31,3.31
1688,fleas,_fleas____,_fliz___,2.61,2.61
1689,fleck,_fle_ck___,_flEk___,0.14,0.14
1690,flecks,_fle_cks__,_flEks__,0.39,0.39
1691,fledge,_fle_dge__,_flEJ___,0.04,0.04
1692,flee,_flee_____,_fli____,4.57,4.57
1693,fleet,_fleet____,_flit___,10.59,10.59
1694,fleets,_fleets___,_flits__,0.35,0.35
1695,flesh,_fle_sh___,_flES___,22.06,22.06
1696,flew,_flew_____,_flu____,15.39,15.39
1697,flex,_fle_x____,_flEks__,0.98,0.98
1698,flexed,_fle_xed__,_flEkst_,0.25,0.25
1699,flick,_fli_ck___,_flIk___,5.04,5.04
1700,flicked,_fli_cked_,_flIkt__,0.16,0.16
1701,flicks,_fli_cks__,_flIks__,0.84,0.84
1702,flies,_flies____,_flAz___,14.06,14.06
1703,flight,_fli_ght__,_flAt___,59.69,59.69
1704,flights,_fli_ghts_,_flAts__,4.59,4.59
1705,flinch,_fli_nch__,_flInC__,1.14,1.14
1706,flinched,_fli_nched,_flInCt_,0.55,0.55
1707,fling,_fli_ng___,_flIng__,3.53,3.53
1708,flings,_fli_ngs__,_flIngz_,0.25,0.25
1709,flint,_fli_nt___,_flInt__,4.35,4.35
1710,flints,_fli_nts__,_flInts_,0.06,0.06
1711,flip,_fli_p____,_flIp___,14.27,14.27
1712,flipped,_fli_pped_,_flIpt__,4.96,4.96
1713,flips,_fli_ps___,_flIps__,1.24,1.24
1714,flirt,_fli_rt___,_fl^rt__,3.92,3.92
1715,flirts,_fli_rts__,_fl^rts_,0.47,0.47
1716,flit,_fli_t____,_flIt___,0.49,0.49
1717,flitch,_fli_tch__,_flItC__,0.0,0.0
1718,flits,_fli_ts___,_flIts__,0.0,0.0
1719,float,_float____,_flot___,7.47,7.47
1720,floats,_floats___,_flots__,1.98,1.98
1721,flock,_flo_ck___,_flak___,4.65,4.65
1722,flocks,_flo_cks__,_flaks__,0.35,0.35
1723,floe,_floe_____,_flo____,0.22,0.22
1724,floes,_floes____,_floz___,0.1,0.1
1725,flog,_flo_g____,_flag___,0.29,0.29
1726,flogged,_flo_gged_,_flagd__,0.51,0.51
1727,flogs,_flo_gs___,_flagz__,0.0,0.0
1728,flood,_flood____,_fl^d___,5.71,5.71
1729,floods,_floods___,_fl^dz__,1.14,1.14
1730,floor,_floor____,_flor___,100.63,100.63
1731,floors,_floors___,_florz__,7.98,7.98
1732,flop,_flo_p____,_flap___,2.31,2.31
1733,flopped,_flo_pped_,_flapt__,0.37,0.37
1734,flops,_flo_ps___,_flaps__,0.51,0.51
1735,floss,_flo_ss___,_flas___,1.96,1.96
1736,flounce,_flounce__,_flWns__,0.02,0.02
1737,flounced,_flounced_,_flWnst_,0.0,0.0
1738,flour,_flour____,_flWr___,3.16,3.16
1739,flours,_flours___,_flWrz__,0.08,0.08
1740,flout,_flout____,_flWt___,0.2,0.2
1741,flow,_flow_____,_flo____,13.75,13.75
1742,flows,_flows____,_floz___,2.78,2.78
1743,flu,_flu______,_flu____,8.71,8.71
1744,flub,_flu_b____,_fl^b___,0.0,0.0
1745,flubbed,_flu_bbed_,_fl^bd__,0.04,0.04
1746,flubs,_flu_bs___,_fl^bz__,0.0,0.0
1747,flue,_flue_____,_flu____,0.41,0.41
1748,fluff,_flu_ff___,_fl^f___,1.41,1.41
1749,fluffs,_flu_ffs__,_fl^fs__,0.02,0.02
1750,fluke,_flu_ke___,_fluk___,1.75,1.75
1751,flukes,_flu_kes__,_fluks__,0.12,0.12
1752,flume,_flu_me___,_flum___,0.16,0.16
1753,flung,_flu_ng___,_fl^ng__,0.86,0.86
1754,flunk,_flu_nk___,_fl^nk__,1.8,1.8
1755,flus,_flu_s____,_fluz___,0.0,0.0
1756,flush,_flu_sh___,_fl^S___,9.37,9.37
1757,flushed,_flu_shed_,_fl^St__,3.0,3.0
1758,flute,_flu_te___,_flut___,2.12,2.12
1759,flutes,_flu_tes__,_fluts__,0.41,0.41
1760,flux,_flu_x____,_fl^ks__,1.04,1.04
1761,fly,_fly______,_flA____,85.0,85.0
1762,foal,__foal____,__fol___,0.27,0.27
1763,foals,__foals___,__folz__,0.02,0.02
1764,foam,__foam____,__fom___,3.51,3.51
1765,foams,__foams___,__fomz__,0.1,0.1
1766,fob,__fo_b____,__fab___,0.27,0.27
1767,fobs,__fo_bs___,__fabz__,0.04,0.04
1768,foe,__foe_____,__fo____,1.84,1.84
1769,foes,__foes____,__foz___,0.61,0.61
1770,fog,__fo_g____,__fag___,9.45,9.45
1771,fogs,__fo_gs___,__fagz__,0.02,0.02
1772,foil,__foil____,__fOl___,1.22,1.22
1773,foils,__foils___,__fOlz__,0.12,0.12
1774,foist,__foist___,__fOst__,0.0,0.0
1775,foists,__foists__,__fOsts_,0.0,0.0
1776,fold,__fo_ld___,__fold__,8.63,8.63
1777,folds,__fo_lds__,__foldz_,1.02,1.02
1778,folk,__fo_lk___,__folk__,7.16,7.16
1779,folks,__fo_lks__,__folks_,76.04,76.04
1780,fond,__fo_nd___,__fand__,12.33,12.33
1781,font,__fo_nt___,__fant__,0.94,0.94
1782,fonts,__fo_nts__,__fants_,0.04,0.04
1783,food,__food____,__fud___,154.43,154.43
1784,foods,__foods___,__fudz__,3.02,3.02
1785,fool,__fool____,__ful___,89.33,89.33
1786,fools,__fools___,__fulz__,13.35,13.35
1787,foot,__foot____,__fUt___,64.92,64.92
1788,fop,__fo_p____,__fap___,0.22,0.22
1789,fops,__fo_ps___,__faps__,0.06,0.06
1790,for,__fo_r____,__for___,6895.1,6895.1
1791,force,__fo_rce__,__fors__,70.67,70.67
1792,ford,__fo_rd___,__ford__,11.51,11.51
1793,fords,__fo_rds__,__fordz_,0.43,0.43
1794,fore,__fo_re___,__for___,2.65,2.65
1795,fores,__fo_res__,__forz__,0.0,0.0
1796,forge,__fo_rge__,__forJ__,3.25,3.25
1797,fork,__fo_rk___,__fork__,8.82,8.82
1798,forks,__fo_rks__,__forks_,2.22,2.22
1799,form,__fo_rm___,__form__,42.75,42.75
1800,forms,__fo_rms__,__formz_,11.37,11.37
1801,fort,__fo_rt___,__fort__,15.43,15.43
1802,forth,__fo_rth__,__forT__,15.76,15.76
1803,forts,__fo_rts__,__forts_,0.39,0.39
1804,fought,__fought__,__fat___,26.71,26.71
1805,foul,__foul____,__fWl___,14.47,14.47
1806,fouled,__fouled__,__fWld__,1.61,1.61
1807,fouls,__fouls___,__fulz__,0.47,0.47
1808,found,__found___,__fWnd__,396.0,396.0
1809,fount,__fount___,__fWnt__,0.08,0.08
1810,fourth,__fourth__,__forT__,26.45,26.45
1811,fowl,__fowl____,__fWl___,0.69,0.345
1812,fowl,__fowl____,__fWl___,0.69,0.345
1813,fox,__fo_x____,__faks__,21.61,21.61
1814,frail,_frail____,_frel___,1.59,1.59
1815,frame,_fra_me___,_frem___,14.1,14.1
1816,frames,_fra_mes__,_fremz__,2.16,2.16
1817,franc,_fra_nc___,_fr@nk__,0.8,0.8
1818,francs,_fra_ncs__,_fr@nks_,5.12,5.12
1819,frank,_fra_nk___,_fr@nk__,159.39,159.39
1820,frappe,_fra_ppe__,_fr@p___,0.1,0.1
1821,frappes,_fra_ppes_,_fr@ps__,0.0,0.0
1822,fraud,_fraud____,_frad___,10.04,10.04
1823,frauds,_frauds___,_fradz__,0.78,0.78
1824,fray,_fray_____,_fre____,0.94,0.94
1825,frayed,_frayed___,_fred___,0.45,0.45
1826,frays,_frays____,_frez___,0.0,0.0
1827,freak,_freak____,_frik___,36.75,36.75
1828,freaks,_freaks___,_friks__,8.27,8.27
1829,free,_free_____,_fri____,177.53,177.53
1830,freeze,_freeze___,_friz___,32.16,32.16
1831,freight,_freight__,_fret___,3.84,3.84
1832,freights,_freights_,_frets__,0.06,0.06
1833,french,_fre_nch__,_frEnC__,0.0,0.0
1834,french,_fre_nch__,_frEnC__,0.0,0.0
1835,fresh,_fre_sh___,_frES___,54.51,54.51
1836,fret,_fre_t____,_frEt___,1.86,1.86
1837,frets,_fre_ts___,_frEts__,0.2,0.2
1838,fridge,_fri_dge__,_frIJ___,9.84,9.84
1839,fried,_fried____,_frAd___,10.16,10.16
1840,friend,_friend___,_frEnd__,419.29,419.29
1841,friends,_friends__,_frEndz_,305.45,305.45
1842,fries,_fries____,_frAz___,11.69,11.69
1843,frieze,_frieze___,_friz___,0.04,0.04
1844,fright,_fri_ght__,_frAt___,2.76,2.76
1845,frights,_fri_ghts_,_frAts__,0.04,0.04
1846,frill,_fri_ll___,_frIl___,0.02,0.02
1847,frills,_fri_lls__,_frIlz__,0.37,0.37
1848,fringe,_fri_nge__,_frInJ__,1.67,1.67
1849,frisk,_fri_sk___,_frIsk__,1.55,1.55
1850,frizz,_fri_zz___,_frIz___,0.04,0.04
1851,fro,_fro______,_fro____,1.14,1.14
1852,frock,_fro_ck___,_frak___,0.84,0.84
1853,frocks,_fro_cks__,_fraks__,0.27,0.27
1854,frog,_fro_g____,_frag___,11.82,11.82
1855,frogs,_fro_gs___,_fragz__,3.37,3.37
1856,from,_fro_m____,_fr^m___,2039.06,2039.06
1857,frond,_fro_nd___,_frand__,0.04,0.04
1858,front,_fro_nt___,_fr^nt__,181.55,181.55
1859,fronts,_fro_nts__,_fr^nts_,0.92,0.92
1860,frost,_fro_st___,_frast__,4.8,4.8
1861,frosts,_fro_sts__,_frasts_,0.08,0.08
1862,froth,_fro_th___,_fraT___,0.2,0.2
1863,frothed,_fro_thed_,_fraTt__,0.0,0.0
1864,froths,_fro_ths__,_fraTs__,0.0,0.0
1865,frown,_frown____,_frWn___,2.04,2.04
1866,frowned,_frowned__,_frWnd__,0.41,0.41
1867,frowns,_frowns___,_frWnz__,0.35,0.35
1868,froze,_fro_ze___,_froz___,4.24,4.24
1869,fruit,_fruit____,_frut___,21.73,21.73
1870,fruits,_fruits___,_fruts__,2.8,2.8
1871,frump,_fru_mp___,_fr^mp__,0.14,0.14
1872,frumps,_fru_mps__,_fr^mps_,0.06,0.06
1873,fry,_fry______,_frA____,8.39,8.39
1874,fuck,__fu_ck___,__f^k___,378.57,378.57
1875,fudge,__fu_dge__,__f^J___,3.63,3.63
1876,fuel,__fuel____,__fYl___,17.18,17.18
1877,fuels,__fuels___,__fYlz__,0.55,0.55
1878,fug,__fu_g____,__f^g___,0.27,0.27
1879,fugue,__fu_gue__,__fYg___,0.53,0.53
1880,full,__fu_ll___,__fUl___,166.9,166.9
1881,fume,__fu_me___,__fYm___,0.24,0.24
1882,fumes,__fu_mes__,__fumz__,2.86,2.86
1883,fun,__fu_n____,__f^n___,235.49,235.49
1884,fund,__fu_nd___,__f^nd__,10.61,10.61
1885,funds,__fu_nds__,__f^ndz_,6.61,6.61
1886,funk,__fu_nk___,__f^nk__,3.16,3.16
1887,funks,__fu_nks__,__f^nks_,0.25,0.25
1888,funs,__fu_ns___,__f^nz__,0.0,0.0
1889,fur,__fu_r____,__f^r___,8.27,8.27
1890,furl,__fu_rl___,__f^rl__,0.12,0.12
1891,furled,__fu_rled_,__f^rld_,0.08,0.08
1892,furls,__fu_rls__,__f^rlz_,0.0,0.0
1893,furs,__fu_rs___,__f^rz__,1.59,1.59
1894,fuse,__fu_se___,__fYz___,4.86,4.86
1895,fuss,__fu_ss___,__f^s___,7.14,7.14
1896,fussed,__fu_ssed_,__f^st__,0.16,0.16
1897,fuzz,__fu_zz___,__f^z___,1.86,1.86
1898,gab,__ga_b____,__g@b___,0.69,0.69
1899,gabs,__ga_bs___,__g@bz__,0.0,0.0
1900,gad,__ga_d____,__g@d___,0.51,0.51
1901,gads,__ga_ds___,__g@dz__,0.02,0.02
1902,gaff,__ga_ff___,__g@f___,0.63,0.63
1903,gaffe,__ga_ffe__,__g@f___,0.04,0.04
1904,gaffes,__ga_ffes_,__g@fs__,0.0,0.0
1905,gaffs,__ga_ffs__,__g@fs__,0.0,0.0
1906,gag,__ga_g____,__g@g___,7.06,7.06
1907,gage,__ga_ge___,__geJ___,2.51,2.51
1908,gags,__ga_gs___,__g@gz__,1.14,1.14
1909,gain,__gain____,__gen___,13.73,13.73
1910,gained,__gained__,__gend__,5.18,5.18
1911,gains,__gains___,__genz__,1.51,1.51
1912,gait,__gait____,__get___,0.31,0.31
1913,gaits,__gaits___,__gets__,0.02,0.02
1914,gal,__ga_l____,__g@l___,14.22,14.22
1915,gale,__ga_le___,__gel___,4.9,4.9
1916,gales,__ga_les__,__gelz__,0.18,0.18
1917,gall,__ga_ll___,__gal___,1.98,1.98
1918,galls,__ga_lls__,__galz__,0.29,0.29
1919,gals,__ga_ls___,__g@lz__,3.25,3.25
1920,game,__ga_me___,__gem___,233.84,233.84
1921,games,__ga_mes__,__gemz__,44.84,44.84
1922,gamp,__ga_mp___,__g@mp__,0.0,0.0
1923,gang,__ga_ng___,__g@ng__,30.14,30.14
1924,gangs,__ga_ngs__,__g@ngz_,4.33,4.33
1925,gap,__ga_p____,__g@p___,4.27,4.27
1926,gape,__ga_pe___,__gep___,0.06,0.06
1927,gaped,__ga_ped__,__gept__,0.0,0.0
1928,gapes,__ga_pes__,__geps__,0.02,0.02
1929,gaps,__ga_ps___,__g@ps__,0.69,0.69
1930,garb,__ga_rb___,__garb__,0.31,0.31
1931,garbs,__ga_rbs__,__garbz_,0.02,0.02
1932,gas,__ga_s____,__g@s___,67.78,67.78
1933,gash,__ga_sh___,__g@S___,0.69,0.69
1934,gasp,__ga_sp___,__g@sp__,1.73,1.73
1935,gasped,__ga_sped_,__g@spt_,0.24,0.24
1936,gasps,__ga_sps__,__g@sps_,9.22,9.22
1937,gat,__ga_t____,__g@t___,0.61,0.61
1938,gate,__ga_te___,__get___,32.04,32.04
1939,gates,__ga_tes__,__gets__,13.41,13.41
1940,gauche,__gauche__,__goS___,0.39,0.39
1941,gaud,__gaud____,__gad___,0.0,0.0
1942,gauds,__gauds___,__gadz__,0.02,0.02
1943,gauge,__gauge___,__geJ___,2.2,2.2
1944,gaunt,__gaunt___,__gant__,0.16,0.16
1945,gauze,__gauze___,__gaz___,1.43,1.43
1946,gave,__ga_ve___,__gev___,243.69,243.69
1947,gawk,__gawk____,__gak___,0.31,0.31
1948,gay,__gay_____,__ge____,59.08,59.08
1949,gaze,__ga_ze___,__gez___,2.53,2.53
1950,gazed,__ga_zed__,__gezd__,0.45,0.45
1951,gear,__gear____,__gir___,16.0,16.0
1952,gears,__gears___,__girz__,1.51,1.51
1953,gee,__gee_____,__Ji____,46.31,46.31
1954,gees,__gees____,__Jiz___,0.0,0.0
1955,geese,__geese___,__gis___,1.59,1.59
1956,gel,__ge_l____,__JEl___,1.63,1.63
1957,geld,__ge_ld___,__gEld__,0.04,0.04
1958,gels,__ge_ls___,__JElz__,0.02,0.02
1959,gem,__ge_m____,__JEm___,2.47,2.47
1960,gems,__ge_ms___,__JEmz__,0.86,0.86
1961,gen,__ge_n____,__JEn___,4.04,4.04
1962,gene,__ge_ne___,__Jin___,14.57,14.57
1963,genes,__ge_nes__,__Jinz__,2.88,2.88
1964,gent,__ge_nt___,__JEnt__,1.61,1.61
1965,gents,__ge_nts__,__JEnts_,2.94,2.94
1966,germ,__ge_rm___,__J^rm__,1.25,1.25
1967,germs,__ge_rms__,__g^rmz_,3.02,3.02
1968,get,__ge_t____,__gEt___,4583.76,4583.76
1969,gets,__ge_ts___,__gEts__,222.82,222.82
1970,ghast,_gha_st___,__g@st__,0.0,0.0
1971,ghasts,_gha_sts__,__g@sts_,0.0,0.0
1972,ghat,_gha_t____,__g@t___,0.06,0.06
1973,ghats,_gha_ts___,__g@ts__,0.04,0.04
1974,ghee,_ghee_____,__gi____,0.1,0.1
1975,ghees,_ghees____,__giz___,0.0,0.0
1976,ghost,_gho_st___,__gost__,36.59,36.59
1977,ghosts,_gho_sts__,__gosts_,14.08,14.08
1978,ghoul,_ghoul____,__gul___,1.02,1.02
1979,ghouls,_ghouls___,__gulz__,0.92,0.92
1980,gibe,__gi_be___,__JAb___,0.04,0.04
1981,gibes,__gi_bes__,__JAbz__,0.06,0.06
1982,gift,__gi_ft___,__gIft__,64.51,64.51
1983,gifts,__gi_fts__,__gIfts_,14.35,14.35
1984,gig,__gi_g____,__gIg___,11.2,11.2
1985,gigs,__gi_gs___,__gIgz__,1.63,1.63
1986,gild,__gi_ld___,__gIld__,0.08,0.08
1987,gilds,__gi_lds__,__gIldz_,0.0,0.0
1988,gill,__gi_ll___,__gIl___,1.71,1.71
1989,gills,__gi_lls__,__gIlz__,1.2,1.2
1990,gilt,__gi_lt___,__gIlt__,0.18,0.18
1991,gin,__gi_n____,__JIn___,11.27,11.27
1992,gins,__gi_ns___,__JInz__,0.14,0.14
1993,gird,__gi_rd___,__g^rd__,0.14,0.14
1994,girds,__gi_rds__,__g^rdz_,0.0,0.0
1995,girl,__gi_rl___,__g^rl__,557.12,557.12
1996,girls,__gi_rls__,__g^rlz_,208.35,208.35
1997,girt,__gi_rt___,__g^rt__,0.04,0.04
1998,girth,__gi_rth__,__g^rT__,0.43,0.43
1999,girths,__gi_rths_,__g^rTs_,0.0,0.0
2000,gist,__gi_st___,__JIst__,1.1,1.1
2001,gists,__gi_sts__,__JIsts_,0.0,0.0
2002,give,__gi_ve___,__gIv___,1167.82,1167.82
2003,gives,__gi_ves__,__gIvz__,64.51,64.51
2004,glad,_gla_d____,_gl@d___,171.37,171.37
2005,glade,_gla_de___,_gled___,0.39,0.39
2006,glades,_gla_des__,_gledz__,0.98,0.98
2007,glance,_gla_nce__,_gl@ns__,3.43,3.43
2008,glanced,_gla_nced_,_gl@nst_,0.63,0.63
2009,gland,_gla_nd___,_gl@nd__,1.51,1.51
2010,glands,_gla_nds__,_gl@ndz_,1.63,1.63
2011,glare,_gla_re___,_glEr___,1.61,1.61
2012,glass,_gla_ss___,_gl@s___,60.71,60.71
2013,glaze,_gla_ze___,_glez___,0.88,0.88
2014,gleam,_gleam____,_glim___,0.98,0.98
2015,glean,_glean____,_glin___,0.04,0.04
2016,gleaned,_gleaned__,_glind__,0.06,0.06
2017,gleans,_gleans___,_glinz__,0.0,0.0
2018,glee,_glee_____,_gli____,1.14,1.14
2019,glees,_glees____,_gliz___,0.0,0.0
2020,glen,_gle_n____,_glEn___,7.18,7.18
2021,glens,_gle_ns___,_glEnz__,0.16,0.16
2022,glib,_gli_b____,_glIb___,0.8,0.8
2023,glide,_gli_de___,_glAd___,2.35,2.35
2024,glides,_gli_des__,_glAdz__,0.16,0.16
2025,glimpse,_gli_mpse_,_glImps_,3.35,3.35
2026,glint,_gli_nt___,_glInt__,0.31,0.31
2027,glitch,_gli_tch__,_glItC__,0.0,0.0
2028,gloat,_gloat____,_glot___,1.57,1.57
2029,gloats,_gloats___,_glots__,0.0,0.0
2030,glob,_glo_b____,_glab___,0.0,0.0
2031,globe,_glo_be___,_glob___,5.22,5.22
2032,globes,_glo_bes__,_globz__,0.35,0.35
